Comment Number,Comment Text
193,I hope your voice doesnt get suppressed  because  of this nonsense  politician's.  Thanks
194,"Thanks!
Great set. At the same time exposing the gaddars and criminals of India."
195,"YOU ARE JUST WAY TO GOOD COMEDIAN AND THE ONE WHO OPENS AND TELL THE TRUTH THANKS!! 
YOU DESERVE EVERYTHING !!"
196,"I had an amazing time watching this special. An absolute banger—superbly written with brilliant, as always sharp humor. 15:11"
197,"This comments section gives me so much hope for our beloved country. Amidst all the other things, there are all our silent voices coming together to have a hearty laugh. More power to you. Jai Samvidhan."
198,"Thanks for this man, all it takes to be you is decency, not courage, YOU ARE A DECENT HUMAN BEING ... i am from chennai, i am against Enforcement of 3 language policy and also i am against delimitation...Long live Indian Constitution "
199,You are a national hero my friend. Keep up the incredible work.
200,Thank you so much for your bravery and courage! Hats off
201,"कैसा घबराया साहिब,
बात बात पर डरता है।
डगमग डगमग होवे कुर्सी,
धर्म को आगे करता है।"
202,We missed you.... What a Dhamakedar Comeback!!!! You make us laugh at our misery 
203,"One man army bossss!!!
Thanks!"
204,As much as I love my country the dark cesspool side of it is something that's chaining us. It takes a boatload of courage to speak about such things openly!
205,"Super work, a small thanks for your courage and work you put in. You are true patriot!"
206,"Truly commend your bravery and speaking up on such shit things happening in our so called "" democratic country"".  Thankyou so much for keeping it real. God bless you !"
207,Don't know how else to support you. Here is small small token appreciation for what you do. I have so much respect for you for what you have done and continue to do.
208,Inquilab Zindabad  you are brave. Always be that....
209,"He is fighting against a powerful liar, determined to expose the truth despite the odds against him.
Thanks"
210,"Jahapana tussi great ho, tofa kubool karo 

Haa bolo azaadi🇮🇳"
211,You put your soul into this..Go on brother Hindustan Zindabad..Thanks!
212,"Thanks Kunal, India will remember you for the fight you fought for defending democracy."
213,"I was just checking the comments and was about to show my support in the form of a small contribution, as that’s the least I feel I can do. But as I kept scrolling, I’ve never seen this many THANKS given to any page on YouTube. I guess this is our way of saying:-  ""Aap lado hum aapke saath hain"""
214,Thanks देश का काम कर रहे हो आप। सच अक्सर छुप जाता है झूठ की आड़ में। आज कोई नहीं बोलना चाहता। आवाम की आवाज बनना बहुत मुश्किल होता है। लोग लोकप्रतिनिधि से यह उम्मीद रखतें हैं और लोकप्रतिनिधि गुवाहाटी जाते हैं अपनी साख बचाने।
215,He's the only Revolutionary comic in india RN !  bro never disappoints..
216,"Thank you Kunal, there’s so much to learn from you!"
217,Cheers to freedom of speech! 
218,"Be Safe Be strong.. We are with You..
The most Fearless Person in India"
219,I was afraid for you just by listening to your jokes! But you made me laugh so much in the end I forgot everything! The songs are epic! This is the medium the public understands! That's why THEY're so scared! Salute to you!
220,"Salute to your courage and fearless humor. Keep going, bro! You have all our support. 
जय संविधान "
221,"Thank you for speaking up. Never apologize, and also stay safe. ️"
222,"“It is dangerous to be right when the government is wrong.”

“Dissent is the highest form of patriotism.”

“When conformity reigns, free thinking becomes an act of rebellion.”"
223,"Thanks For Speaking the truth,which we young generation are afraid to say"
224,"Loved the subtle political comedy earlier, love the return to not so subtle political comedy! 
The songs are a great addition. Lage raho bhai!"
225,Thank you for your courage  May your courage and strength to keep speaking to the powers that be keeps growing.
226,Writing this as proof I was on the right side of history. Zindabad Kamra bhai!
227,Damn if that’s not revolutionary I don’t know what it is. Thank you for doing this
228,PFA Mah part
229,This is not nearly enough. But a small token of appreciation Lots of love and hats off to your courage
230,Always been a FAN! Thank you so much for all your work!
231,Thanks Kunal for doing this! Thanks for everything that you do!
232,Kudos to you for the courage you've shown in speaking up and exposing the truth in a way that will be etched in the minds of anyone who watches your video.
233,Thank you Kamra for being the voice of the common man!  Guda toh hain tum mein. <3
234,Thanks! It was one of the best sets.
235,Thanks. Supporting fearless voices like yours!
236,Salute to your bravery and courage.
237,"Wonderful, impactful work. Great one again Kunal."
238,Sir keep it up .. we are all with you 
